adult,backdrop_path,budget,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,belongs_to_collection,collection_id,collection_name,genre_names,production_companies_ids,production_companies_number,production_companies_name,production_countries,spoken_languages,homepage
FALSE,/gQ1MQIbEjBKTH5TBsnfv2vkMrJb.jpg,50000000,9906,tt0429589,en,The Ant Bully,"Fed up with being targeted by the neighborhood bully, 10-year-old Lucas Nickle vents his frustrations on the anthill in his front yard ... until the insects shrink him to the size of a bug with a magic elixir. Convicted of ""crimes against the colony,"" Lucas can only regain his freedom by living with the ants and learning their ways.",9.380957,/tBUlwDCdvYC5aP7DzgcmDgrbfec.jpg,2006-07-27,55181129,88,Released,The battle for the lawn is on.,The Ant Bully,FALSE,5.5,462,FALSE,,,Fantasy|Adventure|Animation|Comedy|Family,89136|4171|6194|84419,4,DNA Productions|Playtone|Warner Bros.|Legendary Entertainment,US,en,http://www.theantbully.com
FALSE,/dIF8r4OUVaRfy6O7mfIJjufEC9j.jpg,5000000,2295,tt0424345,en,Clerks II,"A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.",9.346018,/luPEGTlN8egktVeomdf2nEap5SP.jpg,2006-07-21,26888376,97,Released,With No Power Comes No Responsibility,Clerks II,FALSE,6.8,506,TRUE,182813,Clerks Collection,Comedy,16934|308,2,View Askew Productions|The Weinstein Company,US,en,
FALSE,/6wCnSjmGU2pNKnTo0rZvYQfqXkH.jpg,11700000,10795,tt0362225,fr,Ne le dis à personne,"A man receives a mysterious e-mail appearing to be from his wife, who was murdered years earlier. As he frantically tries to find out whether she's alive, he finds himself being implicated in her death.",9.313506,/9caHoo7Acpc4GMfgBdNZIC6kVCb.jpg,2006-11-01,0,131,Released,Eight years ago Alex's wife was murdered. Today she emailed him.,Tell No One,FALSE,7.4,415,FALSE,,,Drama|Thriller|Crime|Mystery,2612,1,Les Productions du Trésor,FR,fr,
FALSE,/7GauLmcFx3tzic3B7DxvRM9Y7cN.jpg,22000000,37933,tt0495596,ja,ゲド戦記,"Something bizarre has come over the land. The kingdom is deteriorating. People are beginning to act strange... What's even more strange is that people are beginning to see dragons, which shouldn't enter the world of humans. Due to all these bizarre events, Ged, a wandering wizard, is investigating the cause. During his journey, he meets Prince Arren, a young distraught teenage boy. While Arren may look like a shy young teen, he has a severe dark side, which grants him strength, hatred, ruthlessness and has no mercy, especially when it comes to protecting Teru. For the witch Kumo this is a perfect opportunity. She can use the boy's ""fears"" against the very one who would help him, Ged.",9.297447,/deB7rfqZXpVxdRinyaCeyhwNPbg.jpg,2006-07-29,68000000,115,Released,"Once Man and Dragon were one. Man chose Land and Sea, Dragon chose Wind and Fire.",Tales from Earthsea,FALSE,6.5,335,FALSE,,,Adventure|Fantasy|Animation|Science Fiction,10342,1,Studio Ghibli,JP,ja,http://disney.go.com/disneypictures/earthsea/#/home
FALSE,/53vdUXxtUogIupD3oln7ywZ2d02.jpg,15000000,9792,tt0454841,en,The Hills Have Eyes,"Based on Wes Craven's 1977 suspenseful cult classic, The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere, the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",9.209375,/hNuqY8h1oBGTnEQK75AH4IwuiPG.jpg,2006-03-10,69623713,107,Released,The lucky ones die first.,The Hills Have Eyes,FALSE,6.2,906,TRUE,8918,The Hills Have Eyes (Reboot) Collection,Horror|Thriller,43|444|445|1600,4,Fox Searchlight Pictures|Dune Entertainment|Major Studio Partners|Craven-Maddalena Films,FR|US,en,http://www.foxsearchlight.com/thehillshaveeyes/
FALSE,/mSE7vKEiWY1NFbvrJIwrcHOtiSH.jpg,70000000,3093,tt0430912,en,Basic Instinct 2,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",9.150573,/gXzrKzHnMmfWCF5PMYQfNOzCxYl.jpg,2006-03-29,38629478,114,Released,Everything interesting begins in the mind,Basic Instinct 2,FALSE,4.6,221,TRUE,86336,Basic Instinct Collection,Crime|Mystery|Thriller,7340|763|19116|4169,4,C-2 Pictures|Intermedia Films|IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG|Kanzaman,DE|GB|US,en,
FALSE,/9mVTP2P5yvW4MgygJQMI7WA6B6h.jpg,22000000,2179,tt0365830,en,Tenacious D in The Pick of Destiny,"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers... a magical guitar pick housed in a rock-and-roll museum some 300 miles away.",9.09777,/gQThU8AftVJEBug4ToHUbQ3Lg7M.jpg,2006-11-22,13405595,93,Released,An epic quest. A magical guitar pick. A chance to put the D in Destiny.,Tenacious D in The Pick of Destiny,FALSE,6.5,533,FALSE,,,Comedy|Music,12|12178,2,New Line Cinema|Red Hour Films,US,en,http://www.tenaciousdmovie.com/
FALSE,/xCPq0OXDs7LyFTzOCxanjkyr36l.jpg,75000000,9297,tt0385880,en,Monster House,"Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",9.035788,/vOhKyKxlmtRwRHqKGV2VrFhJjCG.jpg,2006-07-21,140175006,91,Released,The House is . . . ALIVE!,Monster House,FALSE,6.4,1174,FALSE,,,Animation|Comedy|Family|Fantasy,11395|5752|5|2251|56,5,ImageMovers|Sony Pictures Entertainment|Columbia Pictures|Sony Pictures Animation|Amblin Entertainment,US,en,http://www.sonypictures.com/movies/monsterhouse/
FALSE,/17Z7O6bPkNQBG5flHOQcKezErrY.jpg,0,1919,tt0491747,en,Away from Her,"A man coping with the institutionalization of his wife because of Alzheimer's disease faces an epiphany when she transfers her affections to another man, a wheel chair-bound mute who also is a patient at the nursing home.",9.005973,/61qZqrSNKfw1t03BJ3sktlK630K.jpg,2006-09-11,0,110,Released,,Away from Her,FALSE,6.9,68,FALSE,,,Drama|Romance,,0,,CA,en,
FALSE,/3qvtPTzdeV5cJFBpJO56KFAkF4d.jpg,85000000,1247,tt0343737,en,The Good Shepherd,"Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",8.994862,/s2RYkRXrjUIyOlmzym37kpLTKRz.jpg,2006-12-11,59908565,167,Released,The untold story of the most powerful covert agency in the world.,The Good Shepherd,FALSE,6.3,417,FALSE,,,Drama|Thriller|History,10210|33|70,3,Morgan Creek Productions|Universal Pictures|American Zoetrope,US,en|ru|es|de|ln,http://www.thegoodshepherdmovie.com/
FALSE,/6gf8mPXSBWHN4owzSSy5ivJsZGb.jpg,12000000,13767,tt0452681,en,The Santa Clause 3: The Escape Clause,"Now that Santa and Mrs. Claus have the North Pole running smoothly, the Counsel of Legendary Figures has called an emergency meeting on Christmas Eve! The evil Jack Frost has been making trouble, looking to take over the holiday! So he launches a plan to sabotage the toy factory and compel Scott to invoke the little-known Escape Clause and wish he'd never become Santa.",8.973067,/kvKXyrc3cUGqXin2u76Ef8lApMI.jpg,2006-11-01,84500122,98,Released,His time at the North Pole is about to go South.,The Santa Clause 3: The Escape Clause,FALSE,5.1,312,TRUE,53159,The Santa Clause Collection,Comedy|Family|Adventure,95593|2|12626|19507,4,Santa Frost Productions|Walt Disney Pictures|Boxing Cat Films|Outlaw Productions (I),US,en,
FALSE,/iMiKWZFILSbzwFWdp30mS1HciT7.jpg,19000000,1251,tt0498380,en,Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",8.855402,/nWJJqOryTQOmVXvKUkLcEETUHgT.jpg,2006-12-19,68673228,141,Released,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,Letters from Iwo Jima,FALSE,7.3,697,TRUE,261382,Clint Eastwood's Iwo Jima Collection,Action|Drama|War,6194|27|56|171,4,Warner Bros.|DreamWorks SKG|Amblin Entertainment|Malpaso Productions,JP|US,en|ja,http://iwojimathemovie.warnerbros.com/lettersofiwojima/framework/framework.html
FALSE,/6sCto39wgQGCzDojAr5c4UPBjDZ.jpg,25000000,9286,tt0414982,en,Final Destination 3,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",8.854332,/p7ARuNKUGPGvkBiDtIDvAzYzonX.jpg,2006-02-10,117719158,93,Released,This Ride Will Be The Death Of You.,Final Destination 3,FALSE,5.9,1256,TRUE,8864,Final Destination Collection,Horror|Mystery,12|3169|12067|48772|48785|48788,6,New Line Cinema|Zide-Perry Productions|Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG|Hard Eight Pictures|Matinee Pictures|Practical Pictures,CA|DE|US,en,
FALSE,/ehRTljCkHassfaWmSQr7wH6tJbD.jpg,135000000,82,tt0430357,en,Miami Vice,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,8.805594,/3BsNsigWcET4tKLZZhJegw7eOjF.jpg,2006-07-27,163794509,134,Released,No Law. No Rules. No Order.,Miami Vice,FALSE,5.7,599,FALSE,,,Action|Adventure|Crime|Thriller,52846|33|675|52844|52845,5,Metropolis Films|Universal Pictures|Forward Pass|Motion Picture ETA Produktionsgesellschaft|Foqus Arte Digital,UY|US|DE|PY,en|es,
FALSE,/85uNq0R2uGEW90SDnWnCH8bfqs7.jpg,0,1730,tt0460829,en,Inland Empire,An actress's perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.,8.788916,/xQKF94NvqsHCuGUjgvJ5Etgnryu.jpg,2006-09-06,849055,180,Released,A woman in trouble,Inland Empire,FALSE,7.1,323,FALSE,,,Horror|Drama|Mystery|Thriller,5870|11608|11609|11610|373|747,6,Studio Canal|Fundacja Kultury|Camerimage Festival|Absurda|Asymmetrical Productions|Inland Empire Productions,PL|US|FR,en|pl,http://www.inlandempirecinema.com/
FALSE,/7Xo6EBlkPfe4J09aO5cehbbUZSh.jpg,0,121539,tt0832865,fr,La coupure,The story of a love relationship between a brother and sister and an eventual breakup that will forever change their lives.,8.771164,/AnbocbxWBObDzFWWccnLKJ3BvOD.jpg,2006-09-13,0,84,Released,,Torn Apart,FALSE,5,2,FALSE,,,Drama|Romance,806,1,Téléfilm Canada,CA,fr,
FALSE,/pKaMMmJUZbUEtSVjIXGlz9JgVie.jpg,50000000,6877,tt0427229,en,Failure to Launch,"Tripp, an attractive man in his thirties, is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy, however, and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.",8.759261,/sJUEp6HGFitc3Ai2ZnaSJEGy96T.jpg,2006-03-10,128406887,97,Released,"To leave the nest, some men just need a little push.",Failure to Launch,FALSE,5.5,500,FALSE,,,Comedy,84423|4|258,3,Failure to Launch Productions|Paramount|Scott Rudin Productions,US,en,
FALSE,/wTrzUBg9KYJolFtFFlYasUMfSFg.jpg,0,14208,tt0455596,en,The Librarian: Return to King Solomon's Mines,"After retrieving the Crystal Skull in Utah, Flynn Carsen receives a map in the mail with the secret location of King Solomon's Mines. When the scroll is stolen, Judson explains the power of the Key of Solomon's book and assigns Flynn to retrieve the map. The map is useless without the legend piece to decipher it, which is located in Volubilis near the Roman ruins in Morocco. Flynn heads to Casablanca to the ruins where he is chased by a group of mercenaries leaded by General Samir. They too want to find the location of King Solomon's mines. Flynn teams-up with Professor Emily Davenport working in the dig and they escape from General Samir and his men. While traveling to Gedi, they save the local Jomo from death and the trio faces a dangerous journey through the wild Africa.",8.746534,/fpedwecERf6PoaNml2Pa8dKncyZ.jpg,2006-09-09,0,92,Released,,The Librarian: Return to King Solomon's Mines,FALSE,5.9,144,TRUE,85890,The Librarian Collection,Fantasy|Action|Adventure,,0,,US,fr|ar|en,
FALSE,/fu25oCkJOWTFRdNozB8VyEPUG5z.jpg,4200000,10947,tt0475293,en,High School Musical,"Troy (Zac Efron), the popular captain of the basketball team, and Gabriella (Vanessa Anne Hudgens), the brainy and beautiful member of the academic club, break all the rules of East High society when they secretly audition for the leads in the school's musical. As they reach for the stars and follow their dreams, everyone learns about acceptance, teamwork, and being yourself. And it's all set to fun tunes and very cool dance moves!",8.682672,/xMRBlTMMKDRJuK4IhwG5idrGHaS.jpg,2006-01-20,0,98,Released,This School Rocks Like No Other!,High School Musical,FALSE,6.2,1461,TRUE,87253,High School Musical Collection,Comedy|Drama|Family|Music|TV Movie,3213,1,Disney Channel,US,en,http://tv.disney.go.com/disneychannel/originalmovies/highschoolmusical/index.html
FALSE,/2ZqUuollwvBiNvGHdxBVngiP0YG.jpg,12899867,219,tt0441909,es,Volver,"Raimunda (Penélope Cruz) works and lives Madrid with her husband Paco and daughter Paula. Her sister Sole (Lola Dueñas) lives nearby and they both miss their mother Irene (Carmen Maura), who died several years ago in a house fire along with their father. A former neighbor from their hometown reports that she has seen the ghost of Irene and both daughters do not believe her. After a murder and a family tragedy, Irene's spirit materializes around her daughters to help comfort them.",8.682357,/wjiEyTi7EnkdtC3MhH446esjCLF.jpg,2006-03-16,85582407,121,Released,Return.,Volver,FALSE,7.3,505,FALSE,,,Comedy|Drama|Romance,49,1,El Deseo,ES,es,http://www.volver-lapelicula.com
FALSE,/xT9awVPuIh8yWx1b2ODTpngY30M.jpg,0,12096,tt0383216,en,The Pink Panther,"When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game, and his expensive and huge ring with the diamond Pink Panther disappears, the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case.",8.655784,/eNzbcO8Mps96Zycg6DSFn9b1aO1.jpg,2006-02-10,0,93,Released,Pardon His French.,The Pink Panther,FALSE,5.7,700,TRUE,130440,The Pink Panther (Steve Martin) Collection,Action|Comedy|Crime|Mystery|Family,2364|5|3929|1507|21,5,The Montecito Picture Company|Columbia Pictures|Robert Simonds Productions|International Production Company|Metro-Goldwyn-Mayer,US,en,
