vote_count,id,video,vote_average,title,popularity,poster_path,original_language,original_title,genre_ids,backdrop_path,adult,overview,release_date,release_year
1312,241554,FALSE,6.3,Run All Night,16.650807,/aqNJrAxudMRNo8jg3HOUQqdl2xr.jpg,en,Run All Night,28|80|18|9648|53,/rSf0RYkPiMo9TyjHs2vI8rHlmfF.jpg,FALSE,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",2015-03-11,2015
33,370687,FALSE,5.8,Mythica: The Necromancer,16.240234,/pxtb9zC59Cd6jG1qXXcQawcNnSV.jpg,en,Mythica: The Necromancer,14|28|12,/u8LyPWk2MVe4Up2ZGhVWFG3NXvT.jpg,FALSE,Mallister takes Thane prisoner and forces Marek and her team on a quest.  Marek tracks down the Necromancer for a final showdown for the Darkspore.,2015-12-19,2015
1351,249070,FALSE,5.6,Hitman: Agent 47,16.143165,/4VmZeT8YkuMI6BrA623mHZDISlN.jpg,en,Hitman: Agent 47,28|80|53,/EnWldA0LlltnAhKjmBZci6Y4Lc.jpg,FALSE,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.,2015-08-20,2015
470,334074,FALSE,5.5,Survivor,15.803308,/XtvR1aSph7X3wqrE2PY66IPzVi.jpg,en,Survivor,53,/tGxBYYSKSmBUpjSHDpRelsbNeBy.jpg,FALSE,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",2015-05-21,2015
2234,306819,FALSE,7.5,The Danish Girl,15.539833,/seWQ6UKCrhGH0eP7dFZvmIBQtKF.jpg,en,The Danish Girl,18,/oXRoRYROJdoi7so8H9cHzS9jp6K.jpg,FALSE,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",2015-11-27,2015
1558,205775,FALSE,6.5,In the Heart of the Sea,15.516469,/zVmWh0Zfg4UhbvdGI8LQrn1lQZJ.jpg,en,In the Heart of the Sea,53|18|12|28|36,/vJfivaGbEvDLJgZGthUUVBLeFB5.jpg,FALSE,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",2015-11-20,2015
671,256961,FALSE,5,Paul Blart: Mall Cop 2,15.282009,/oENngJWMtyH19LERE9DfLHkFBu6.jpg,en,Paul Blart: Mall Cop 2,28|35|10751,/5W6XO9KjLRY6W9wGojpzK8EqEgQ.jpg,FALSE,"Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers a heist - and it's up to Blart to apprehend the criminals.",2015-04-16,2015
1702,254320,FALSE,6.8,The Lobster,15.03921,/yR60EqMGS9hHq9I5Pkq2hG984TP.jpg,en,The Lobster,53|35|18|10749|878,/9XEgGDfMqgtCns1M0OHHQRmcvqu.jpg,FALSE,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",2015-10-08,2015
719,252838,FALSE,6.4,The Wedding Ringer,14.903099,/u3gLkiOpkNb01r7yvrbbOfBJv3R.jpg,en,The Wedding Ringer,35,/ZpVK4T1Ooxk2f4x1enJAMZ6b5M.jpg,FALSE,"Doug Harris is a loveable but socially awkward groom-to-be with a problem: he has no best man.  With less than two weeks to go until he marries the girl of his dreams, Doug is referred to Jimmy Callahan, owner and CEO of Best Man, Inc., a company that provides flattering best men for socially challenged guys in need.  What ensues is a hilarious wedding charade as they try to pull off the big con, and an unexpected budding bromance between Doug and his fake best man Jimmy.",2015-01-16,2015
1351,238615,FALSE,6.3,Self/less,14.596792,/5MUyULSD4syaMQFcfPABqopAO4e.jpg,en,Self/less,878|9648|53,/fpKyGCOZJsYe2TAKLtziLe6EPj9.jpg,FALSE,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,2015-07-10,2015
638,287948,FALSE,5.3,The Transporter Refueled,14.487475,/zW7oC3tucYLzu77xNbPbYjXUN4o.jpg,en,The Transporter Refueled,53|28|80,/wxC0fO9fkNvdLr2joeE4AypuA3s.jpg,FALSE,"The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",2015-09-03,2015
745,265208,FALSE,5.4,Wild Card,14.388023,/s5qUhHvFAZZ7Q4r5Dn3GdsfaPKI.jpg,en,Wild Card,53|80|18,/3iQjHDKkZhpFUTvpZ2sarwNBZWI.jpg,FALSE,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.",2015-01-14,2015
666,181283,FALSE,6.1,Child 44,14.38126,/nzXwfnBcsmREzHlem6fkStN1RUH.jpg,en,Child 44,80|53,/A2WK7mdiKHaxgE4hRyKuDIM4KGg.jpg,FALSE,"Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",2015-03-15,2015
1922,274479,FALSE,6.5,Joy,14.377398,/zNjxzdgSwzRXnP8Stu3HGzKQKWp.jpg,en,Joy,18|35,/5nBIWhdexEU0peSUK0wZEkjgy6h.jpg,FALSE,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,2015-12-24,2015
353,250124,FALSE,6.7,The Diary of a Teenage Girl,14.170545,/tp6cKoQOb9gY9DbhQmWIk7wdMkS.jpg,en,The Diary of a Teenage Girl,18|10749,/n2RUTiFBDBTaBxNzXZv5WNktX4H.jpg,FALSE,"Minnie Goetze is a 15-year-old aspiring comic-book artist, coming of age in the haze of the 1970s in San Francisco. Insatiably curious about the world around her, Minnie is a pretty typical teenage girl. Oh, except that she’s sleeping with her mother’s boyfriend.",2015-08-07,2015
